Car: 0.0999996, 0.000249358: 0.285743
Trailer: 0.65, 6.41183e-06: -179.999
Car: 0.199997, 0.000997424: 0.571487
Trailer: 0.749999, 0.000969531: -179.955
Car: 0.299989, 0.00224418: 0.85723
Trailer: 0.849993, 0.00281913: -179.874
Car: 0.399974, 0.0039896: 1.14297
Trailer: 0.949978, 0.00549567: -179.761
Car: 0.499949, 0.00623363: 1.42872
Trailer: 1.04995, 0.00894876: -179.622
Car: 0.599911, 0.00897622: 1.71446
Trailer: 1.14991, 0.0131357: -179.46
Car: 0.699858, 0.0122173: 2.0002
Trailer: 1.24984, 0.0180203: -179.279
Car: 0.799789, 0.0159568: 2.28595
Trailer: 1.34975, 0.0235718: -179.082
Car: 0.899699, 0.0201946: 2.57169
Trailer: 1.44963, 0.0297644: -178.872
Car: 0.999587, 0.0249306: 2.85743
Trailer: 1.54948, 0.0365759: -178.65
Car: 1.09945, 0.0301648: 3.14318
Trailer: 1.6493, 0.0439876: -178.418
Car: 1.19929, 0.0358968: 3.42892
Trailer: 1.74907, 0.0519837: -178.178
Car: 1.29909, 0.0421268: 3.71466
Trailer: 1.84881, 0.0605506: -177.931
Car: 1.39887, 0.0488543: 4.00041
Trailer: 1.94849, 0.0696769: -177.678
Car: 1.4986, 0.0560794: 4.28615
Trailer: 2.04814, 0.0793528: -177.42
Car: 1.59831, 0.0638018: 4.57189
Trailer: 2.14773, 0.0895701: -177.158
Car: 1.69797, 0.0720213: 4.85764
Trailer: 2.24726, 0.100322: -176.892
Car: 1.79759, 0.0807378: 5.14338
Trailer: 2.34675, 0.111601: -176.623
Car: 1.89716, 0.0899509: 5.42912
Trailer: 2.44617, 0.123404: -176.351
Car: 1.99669, 0.0996606: 5.71487
Trailer: 2.54553, 0.135725: -176.078
Car: 2.09617, 0.109866: 6.00061
Trailer: 2.64483, 0.148561: -175.802
Car: 2.19559, 0.120568: 6.28635
Trailer: 2.74407, 0.161908: -175.525
Car: 2.29497, 0.131766: 6.5721
Trailer: 2.84323, 0.175764: -175.247
Car: 2.39428, 0.143459: 6.85784
Trailer: 2.94233, 0.190126: -174.967
Car: 2.49354, 0.155647: 7.14358
Trailer: 3.04135, 0.204992: -174.686
Car: 2.59273, 0.16833: 7.42933
Trailer: 3.14029, 0.220361: -174.405
Car: 2.69186, 0.181508: 7.71507
Trailer: 3.23916, 0.236229: -174.123
Car: 2.79092, 0.195179: 8.00081
Trailer: 3.33794, 0.252596: -173.841
Car: 2.88991, 0.209345: 8.28656
Trailer: 3.43664, 0.269461: -173.558
Car: 2.98883, 0.224004: 8.5723
Trailer: 3.53526, 0.286822: -173.274
Car: 3.08768, 0.239156: 8.85804
Trailer: 3.63379, 0.304679: -172.99
Car: 3.18645, 0.254801: 9.14379
Trailer: 3.73223, 0.32303: -172.706
Car: 3.28514, 0.270939: 9.42953
Trailer: 3.83057, 0.341874: -172.422
Car: 3.38374, 0.287568: 9.71527
Trailer: 3.92882, 0.36121: -172.137
Car: 3.48227, 0.304689: 10.001
Trailer: 4.02697, 0.381038: -171.853
Car: 3.58071, 0.322301: 10.2868
Trailer: 4.12502, 0.401357: -171.568
Car: 3.67906, 0.340404: 10.5725
Trailer: 4.22297, 0.422166: -171.283
Car: 3.77731, 0.358997: 10.8582
Trailer: 4.32082, 0.443464: -170.997
Car: 3.87548, 0.378079: 11.144
Trailer: 4.41855, 0.465251: -170.712
Car: 3.97354, 0.397652: 11.4297
Trailer: 4.51618, 0.487526: -170.427
Car: 4.07151, 0.417713: 11.7155
Trailer: 4.61369, 0.510288: -170.142
Car: 4.16938, 0.438262: 12.0012
Trailer: 4.71109, 0.533537: -169.856
Car: 4.26714, 0.459299: 12.287
Trailer: 4.80837, 0.557272: -169.571
Car: 4.3648, 0.480823: 12.5727
Trailer: 4.90554, 0.581492: -169.285
Car: 4.46235, 0.502834: 12.8584
Trailer: 5.00258, 0.606197: -169
Car: 4.55978, 0.525332: 13.1442
Trailer: 5.09949, 0.631385: -168.714
Car: 4.65711, 0.548315: 13.4299
Trailer: 5.19628, 0.657057: -168.428
Car: 4.75432, 0.571783: 13.7157
Trailer: 5.29294, 0.683211: -168.143
